Bac;Matière;Chapitre;Contenu;Titre au catalogue;Type;Média;Référence;Fichier;Dossier;Source;Id du contenu
تاسعة أساسي;رياضيات;Le théorème de Thalès;درس — مبرهنة طاليس;;cours;vidéo;—;dQw4w9WgXcQ;https://youtu.be;lien externe;l-9th-cours
تاسعة أساسي;رياضيات;Le théorème de Thalès;درس — مبرهنة طاليس;;cours;document;—;سند الدرس;—;hors catalogue;l-9th-cours
تاسعة أساسي;رياضيات;La trigonométrie;سلسلة تمارين — حساب المثلثات;;serie;document;—;النص;—;hors catalogue;l-9trig-serie
تاسعة أساسي;رياضيات;La trigonométrie;سلسلة تمارين — حساب المثلثات;;serie;document;—;الإصلاح;—;hors catalogue;l-9trig-serie
تاسعة أساسي;رياضيات;Équations et inéquations;ملخّص — المعادلات والمتراجحات;;resume;document;—;بطاقة مراجعة;—;hors catalogue;l-9eq-resume
باك — اقتصاد وتصرّف;Bac Éco - Économie;Le comportement et l'équilibre du consommateur;L'utilité totale et l'utilité marginale;l'utilité total et l'utilité marginal;cours;vidéo;ELINE-ECO-009;V01.mp4;eline bac/cours TH1;médiathèque;les-bac-eco-eco-1-01
باك — اقتصاد وتصرّف;Bac Éco - Économie;Le comportement et l'équilibre du consommateur;L'utilité totale et l'utilité marginale;l'utilité total et l'utilité marginal;cours;document;ELINE-ECO-006;PDF V01.pdf;eline bac/cours TH1;médiathèque;les-bac-eco-eco-1-01
باك — اقتصاد وتصرّف;Bac Éco - Économie;Le comportement et l'équilibre du consommateur;La contrainte budgétaire;;cours;vidéo;ELINE-ECO-010;V02.mp4;eline bac/cours TH1;médiathèque;les-bac-eco-eco-1-02
باك — اقتصاد وتصرّف;Bac Éco - Économie;Le comportement et l'équilibre du consommateur;La contrainte budgétaire;;cours;document;ELINE-ECO-007;PDF V02.pdf;eline bac/cours TH1;médiathèque;les-bac-eco-eco-1-02
باك — اقتصاد وتصرّف;Bac Éco - Économie;Le comportement et l'équilibre du consommateur;L'équilibre du consommateur;l'équilibre du consommateur;cours;vidéo;ELINE-ECO-003;L_équilibre du consommateur ( cours).mp4;eline bac/cours TH1;médiathèque;les-bac-eco-eco-1-03
